GO.ID,Term,Annotated,Significant,Expected,classicFisher,Type
GO:0006259,DNA metabolic process,28,5,1.15,0.003,Biological Process
GO:0022412,cellular process involved in reproduction in multicellular organism,10,3,0.41,0.0056,Biological Process
GO:0019439,aromatic compound catabolic process,20,4,0.82,0.0058,Biological Process
GO:1901361,obsolete organic cyclic compound catabolic process,21,4,0.86,0.007,Biological Process
GO:0007276,gamete generation,11,3,0.45,0.0075,Biological Process
GO:0009125,nucleoside monophosphate catabolic process,11,3,0.45,0.0075,Biological Process
GO:0009128,purine nucleoside monophosphate catabolic process,11,3,0.45,0.0075,Biological Process
GO:0009158,ribonucleoside monophosphate catabolic process,11,3,0.45,0.0075,Biological Process
GO:0009169,purine ribonucleoside monophosphate catabolic process,11,3,0.45,0.0075,Biological Process
GO:0009126,purine nucleoside monophosphate metabolic process,13,3,0.53,0.0123,Biological Process
GO:0016887,ATP hydrolysis activity,11,3,0.42,0.0059,Molecular Function
GO:0140657,ATP-dependent activity,20,3,0.76,0.0334,Molecular Function
GO:0016746,acyltransferase activity,11,2,0.42,0.0605,Molecular Function
GO:0030234,enzyme regulator activity,11,2,0.42,0.0605,Molecular Function
GO:0098772,molecular function regulator activity,11,2,0.42,0.0605,Molecular Function
GO:0017111,ribonucleoside triphosphate phosphatase activity,28,3,1.07,0.0803,Molecular Function
GO:0005524,ATP binding,66,5,2.51,0.0819,Molecular Function
GO:0140640,"catalytic activity, acting on a nucleic acid",29,3,1.1,0.0876,Molecular Function
GO:0032559,adenyl ribonucleotide binding,68,5,2.59,0.0914,Molecular Function
GO:0005515,protein binding,14,2,0.53,0.0939,Molecular Function
GO:0015630,microtubule cytoskeleton,14,3,0.57,0.014,Cellular Component
GO:0005794,Golgi apparatus,29,4,1.17,0.02,Cellular Component
GO:0005856,cytoskeleton,17,3,0.69,0.025,Cellular Component
GO:0043228,non-membrane-bounded organelle,47,5,1.9,0.026,Cellular Component
GO:0043232,intracellular non-membrane-bounded organelle,47,5,1.9,0.026,Cellular Component
GO:0005634,nucleus,85,6,3.44,0.089,Cellular Component
GO:0140535,intracellular protein-containing complex,13,2,0.53,0.091,Cellular Component
GO:0005576,extracellular region,28,3,1.13,0.092,Cellular Component
GO:0012505,endomembrane system,46,4,1.86,0.095,Cellular Component
GO:0005840,ribosome,17,2,0.69,0.145,Cellular Component
