seqnames,method,repeattype,start,end,something1,strand,dot,ID,Motif
chr10,RepeatMasker,dispersed_repeat,150358541,150358584,4.5,+,.,ID=435806;Target,RIL_naefe_AC212820_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150360201,150360617,22.5,+,.,ID=435807;Target,egisu_AC206234_9137_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150360609,150360836,16.9,+,.,ID=435808;Target,egisu_AC206234_9137_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150361346,150361783,29.9,-,.,ID=435809;Target,wuwe_AC212122_11600_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150361786,150361897,24.1,-,.,ID=435810;Target,ojam_AC198400_5989_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150361894,150361979,24.1,+,.,ID=435811;Target,hiimam_AC207734_9687_LTR_unknown
chr10,RepeatMasker,dispersed_repeat,150362102,150362153,7.7,-,.,ID=435812;Target,sofi_AC215261_13035_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150362221,150362710,28.8,+,.,ID=435813;Target,RIX_leijoh_AC212369_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150362822,150363306,35.3,+,.,ID=435814;Target,hiimam_AC207734_9687_LTR_unknown
chr10,RepeatMasker,dispersed_repeat,150362823,150363414,35.5,+,.,ID=435815;Target,RIL_pyelum_AC203928_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150362965,150363417,32.8,+,.,ID=435816;Target,RIX_ekeje_AC197537_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150363344,150363426,28.9,+,.,ID=435817;Target,RIX_edaej_AC215611_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150363577,150363593,0,+,.,ID=435818;Target,(TTG)n
chr10,RepeatMasker,dispersed_repeat,150363642,150363719,14.5,+,.,ID=435819;Target,RIL_ejoet_AC212216_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150363730,150364521,31.7,+,.,ID=435820;Target,RIL_nugimu_AC203843_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150364603,150365661,8.4,+,.,ID=435821;Target,anar_AC206985_9422_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150365662,150365703,0,+,.,ID=435822;Target,(TA)n
chr10,RepeatMasker,dispersed_repeat,150365704,150365750,8.4,+,.,ID=435821;Target,anar_AC206985_9422_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150365758,150366417,28.2,-,.,ID=435823;Target,ojam_AC198400_5989_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150366462,150366682,30.8,-,.,ID=435824;Target,olepo_AC212207_11645_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150366465,150366643,26.4,-,.,ID=435825;Target,ojam_AC198400_5989_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150366731,150366845,20.2,-,.,ID=435826;Target,RIL_afeda_AC208414_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150366732,150366808,16,-,.,ID=435827;Target,RIL_nugimu_AC203843_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150366917,150367378,34.5,-,.,ID=435828;Target,RIX_edaej_AC215611_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150367003,150368553,33.9,-,.,ID=435829;Target,RIX_ekeje_AC197537_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150369085,150369128,20.9,+,.,ID=435830;Target,(AAT)n
chr10,RepeatMasker,dispersed_repeat,150369202,150369245,23.9,+,.,ID=435831;Target,(CA)n
chr10,RepeatMasker,dispersed_repeat,150369374,150370148,28.2,-,.,ID=435832;Target,RIL_afeda_AC208414_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150369549,150370150,30.1,-,.,ID=435833;Target,RIL_jikeuf_AC211152_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150370169,150370455,27.3,-,.,ID=435834;Target,RIL_afeda_AC208414_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150370463,150371814,28,-,.,ID=435835;Target,RIL_afeda_AC208414_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150371805,150372259,30.2,-,.,ID=435836;Target,RIL_jikeuf_AC211152_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150372279,150372376,31.6,-,.,ID=435837;Target,uwub_AC195372_161_LTR_unknown
chr10,RepeatMasker,dispersed_repeat,150372294,150372636,35.7,-,.,ID=435838;Target,RIL_pyelum_AC203928_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150372644,150372845,16.5,+,.,ID=435839;Target,DTA_ZM00096_consensus_DNA_DTA
chr10,RepeatMasker,dispersed_repeat,150374012,150374835,36.6,-,.,ID=435840;Target,RIL_koajav_AC205853_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150374286,150374885,34.3,-,.,ID=435841;Target,RIL_nugimu_AC203843_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150374400,150374885,35.1,-,.,ID=435842;Target,RIL_ejoet_AC212216_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150374884,150374981,27.2,+,.,ID=435843;Target,RIL_afeda_AC208414_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150374890,150374976,17.6,+,.,ID=435844;Target,RIL_nugimu_AC203843_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150375156,150375323,32.7,-,.,ID=435845;Target,RIX_ekeje_AC197537_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150375184,150376336,33.5,-,.,ID=435846;Target,RIL_pyelum_AC203928_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150376643,150376843,5.5,-,.,ID=435847;Target,DTH_ZM00280_consensus_MITE_DTH
chr10,RepeatMasker,dispersed_repeat,150377810,150377963,35.7,-,.,ID=435848;Target,RIL_jikeuf_AC211152_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150377819,150378224,36.7,-,.,ID=435849;Target,RIL_afeda_AC208414_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150378073,150378223,35.8,-,.,ID=435850;Target,RIL_jikeuf_AC211152_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150378347,150378642,29.5,-,.,ID=435851;Target,RIL_afeda_AC208414_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150378467,150378637,31.6,-,.,ID=435852;Target,RIL_etiti_AC211734_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150378871,150378940,23.2,-,.,ID=435853;Target,RIX_edaej_AC215611_0_LINE_unknown
chr10,RepeatMasker,dispersed_repeat,150379378,150379459,23.8,+,.,ID=435854;Target,(AAAT)n
chr10,RepeatMasker,dispersed_repeat,150380304,150380441,15.7,+,.,ID=435855;Target,huck_AC208546_9913_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150380442,150380818,3.5,-,.,ID=435856;Target,DTA_ZM00217_consensus_MITE_DTA
chr10,RepeatMasker,dispersed_repeat,150380894,150381064,29.8,-,.,ID=435857;Target,bovo_AC197547_5647_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150380921,150382364,29.2,-,.,ID=435858;Target,kameer_AC194009_3819_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150381484,150382723,25.9,-,.,ID=435859;Target,totu_AC194464_4142_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150382714,150383149,21.5,-,.,ID=435860;Target,totu_AC194464_4142_LTR_Copia
chr10,RepeatMasker,dispersed_repeat,150383679,150385563,31.1,+,.,ID=435861;Target,tituer_AC196493_5158_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150385633,150385699,19.4,-,.,ID=435862;Target,RIL_koajav_AC205853_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150385713,150385773,22.9,+,.,ID=435863;Target,apil_AC198662_6085_LTR_Gypsy
chr10,RepeatMasker,dispersed_repeat,150385788,150385805,0,+,.,ID=435864;Target,(C)n
chr10,RepeatMasker,dispersed_repeat,150385857,150386846,7.9,-,.,ID=435865;Target,RIL_koajav_AC205853_0_LINE_L1
chr10,RepeatMasker,dispersed_repeat,150386847,150387476,8,-,.,ID=435866;Target,tuteh_AC183372_584_LTR_unknown
