,seqnames,method,repeattype,start,end,something1,strand,dot,ID,Motif,Superfamily
21236,K10L2,RepeatMasker,dispersed_repeat,16280549,16280592,6.8,+,.,ID=21133;Target,RIL_naefe_AC212820_0_LINE,L1
21237,K10L2,RepeatMasker,dispersed_repeat,16282196,16282612,21.3,+,.,ID=21134;Target,egisu_AC206234_9137_LTR,Gypsy
21238,K10L2,RepeatMasker,dispersed_repeat,16282604,16282830,17,+,.,ID=21135;Target,egisu_AC206234_9137_LTR,Gypsy
21239,K10L2,RepeatMasker,dispersed_repeat,16283358,16283902,29.3,-,.,ID=21136;Target,ojam_AC198400_5989_LTR,Gypsy
21240,K10L2,RepeatMasker,dispersed_repeat,16283899,16283984,24.1,+,.,ID=21137;Target,hiimam_AC207734_9687,LTR_unknown
21241,K10L2,RepeatMasker,dispersed_repeat,16284107,16284158,7.7,-,.,ID=21138;Target,sofi_AC215261_13035_LTR,Copia
21242,K10L2,RepeatMasker,dispersed_repeat,16284226,16284715,29.2,+,.,ID=21139;Target,RIX_leijoh_AC212369_0,LINE_unknown
21243,K10L2,RepeatMasker,dispersed_repeat,16284791,16285422,33.7,+,.,ID=21140;Target,RIX_ekeje_AC197537_0,LINE_unknown
21244,K10L2,RepeatMasker,dispersed_repeat,16285352,16285435,30.9,+,.,ID=21141;Target,RIL_koajav_AC205853_0_LINE,L1
21245,K10L2,RepeatMasker,dispersed_repeat,16285582,16285598,0,+,.,ID=21142;Target,(TTG)n,Simple Repeat
21246,K10L2,RepeatMasker,dispersed_repeat,16285623,16285724,26.5,+,.,ID=21143;Target,RIL_loneok_AC193379_0_LINE,L1
21247,K10L2,RepeatMasker,dispersed_repeat,16285647,16285724,14.5,+,.,ID=21144;Target,RIL_ejoet_AC212216_0_LINE,L1
21248,K10L2,RepeatMasker,dispersed_repeat,16285735,16286526,32,+,.,ID=21145;Target,RIL_nugimu_AC203843_0_LINE,L1
21249,K10L2,RepeatMasker,dispersed_repeat,16286608,16287672,8.6,+,.,ID=21146;Target,anar_AC206985_9422_LTR,Copia
21250,K10L2,RepeatMasker,dispersed_repeat,16287673,16287790,0,+,.,ID=21147;Target,(TA)n,Simple Repeat
21251,K10L2,RepeatMasker,dispersed_repeat,16287791,16287837,8.6,+,.,ID=21146;Target,anar_AC206985_9422_LTR,Copia
21252,K10L2,RepeatMasker,dispersed_repeat,16287845,16288504,28.2,-,.,ID=21148;Target,ojam_AC198400_5989_LTR,Gypsy
21253,K10L2,RepeatMasker,dispersed_repeat,16288549,16288769,30.8,-,.,ID=21149;Target,olepo_AC212207_11645_LTR,Gypsy
21254,K10L2,RepeatMasker,dispersed_repeat,16288552,16288730,26.4,-,.,ID=21150;Target,ojam_AC198400_5989_LTR,Gypsy
21255,K10L2,RepeatMasker,dispersed_repeat,16288818,16288931,19.4,-,.,ID=21151;Target,RIL_afeda_AC208414_0_LINE,L1
21256,K10L2,RepeatMasker,dispersed_repeat,16288818,16288894,14.7,-,.,ID=21152;Target,RIL_nugimu_AC203843_0_LINE,L1
21257,K10L2,RepeatMasker,dispersed_repeat,16289003,16289464,34.2,-,.,ID=21153;Target,RIX_edaej_AC215611_0,LINE_unknown
21258,K10L2,RepeatMasker,dispersed_repeat,16289089,16290639,35.4,-,.,ID=21154;Target,RIX_ekeje_AC197537_0,LINE_unknown
21259,K10L2,RepeatMasker,dispersed_repeat,16291171,16291214,20.9,+,.,ID=21155;Target,(AAT)n,Simple Repeat
21260,K10L2,RepeatMasker,dispersed_repeat,16291288,16291331,23.9,+,.,ID=21156;Target,(CA)n,Simple Repeat
21261,K10L2,RepeatMasker,dispersed_repeat,16291460,16292539,28.3,-,.,ID=21157;Target,RIL_afeda_AC208414_0_LINE,L1
21262,K10L2,RepeatMasker,dispersed_repeat,16292547,16293905,28.2,-,.,ID=21158;Target,RIL_afeda_AC208414_0_LINE,L1
21263,K10L2,RepeatMasker,dispersed_repeat,16293889,16294343,30.5,-,.,ID=21159;Target,RIL_jikeuf_AC211152_0_LINE,L1
21264,K10L2,RepeatMasker,dispersed_repeat,16294365,16294721,35.3,-,.,ID=21160;Target,RIX_edaej_AC215611_0,LINE_unknown
21265,K10L2,RepeatMasker,dispersed_repeat,16294413,16294720,32,-,.,ID=21161;Target,RIL_etiti_AC211734_0_LINE,L1
21266,K10L2,RepeatMasker,dispersed_repeat,16294728,16294929,16.5,+,.,ID=21162;Target,DTA_ZM00096_consensus_DNA,DTA
21267,K10L2,RepeatMasker,dispersed_repeat,16296127,16296969,35,-,.,ID=21163;Target,RIL_nugimu_AC203843_0_LINE,L1
21268,K10L2,RepeatMasker,dispersed_repeat,16296966,16297061,18.9,+,.,ID=21164;Target,RIX_leijoh_AC212369_0,LINE_unknown
21269,K10L2,RepeatMasker,dispersed_repeat,16297128,16298422,34.7,-,.,ID=21165;Target,RIL_pyelum_AC203928_0_LINE,L1
21270,K10L2,RepeatMasker,dispersed_repeat,16298729,16298929,6,-,.,ID=21166;Target,DTH_ZM00280_consensus_MITE,DTH
21271,K10L2,RepeatMasker,dispersed_repeat,16299905,16300310,37.5,-,.,ID=21167;Target,RIL_afeda_AC208414_0_LINE,L1
21272,K10L2,RepeatMasker,dispersed_repeat,16300435,16300723,34.4,-,.,ID=21168;Target,RIL_etiti_AC211734_0_LINE,L1
21273,K10L2,RepeatMasker,dispersed_repeat,16300553,16300748,37.2,-,.,ID=21169;Target,RIX_edaej_AC215611_0,LINE_unknown
21274,K10L2,RepeatMasker,dispersed_repeat,16300957,16301032,25.3,-,.,ID=21170;Target,RIX_edaej_AC215611_0,LINE_unknown
21275,K10L2,RepeatMasker,dispersed_repeat,16301464,16301545,23.8,+,.,ID=21171;Target,(AAAT)n,Simple Repeat
21276,K10L2,RepeatMasker,dispersed_repeat,16301810,16301877,27.9,+,.,ID=21172;Target,huck_AC208546_9913_LTR,Gypsy
21277,K10L2,RepeatMasker,dispersed_repeat,16302393,16302585,18,+,.,ID=21173;Target,huck_AC208546_9913_LTR,Gypsy
21278,K10L2,RepeatMasker,dispersed_repeat,16302609,16303132,30,-,.,ID=21174;Target,victim_AC183319_577_LTR,Copia
21279,K10L2,RepeatMasker,dispersed_repeat,16302611,16303235,32.3,-,.,ID=21175;Target,victim_AC182414_456_LTR,Copia
