,seqnames,method,repeattype,start,end,something1,strand,dot,ID,Motif,Superfamily
437614,chr10,RepeatMasker,dispersed_repeat,148968896,148969014,20.5,-,.,ID=434519;Target,DTH_ZM00226_consensus_MITE,DTH
437615,chr10,RepeatMasker,dispersed_repeat,148969155,148969183,19.6,+,.,ID=434520;Target,(TTAA)n,Simple Repeat
437616,chr10,RepeatMasker,dispersed_repeat,148969553,148969659,14,-,.,ID=434521;Target,kameer_AC194009_3819_LTR,Copia
437617,chr10,RepeatMasker,dispersed_repeat,148969702,148970488,23.8,-,.,ID=434522;Target,weaniv_AC196414_5097_LTR,Gypsy
437618,chr10,RepeatMasker,dispersed_repeat,148970375,148970509,34.3,-,.,ID=434523;Target,dady_AC210684_10809_LTR,Gypsy
437619,chr10,RepeatMasker,dispersed_repeat,148970915,148971337,27.9,-,.,ID=434524;Target,kameer_AC194009_3819_LTR,Copia
437620,chr10,RepeatMasker,dispersed_repeat,148971015,148971337,22.7,-,.,ID=434525;Target,victim_AC182414_456_LTR,Copia
437621,chr10,RepeatMasker,dispersed_repeat,148971065,148971337,20.9,-,.,ID=434526;Target,victim_AC183319_577_LTR,Copia
437622,chr10,RepeatMasker,dispersed_repeat,148971334,148971432,15.3,-,.,ID=434527;Target,victim_AC183319_577_LTR,Copia
437623,chr10,RepeatMasker,dispersed_repeat,148971432,148972221,21.9,-,.,ID=434528;Target,pute_AC197188_5467_LTR,Copia
437624,chr10,RepeatMasker,dispersed_repeat,148972218,148972972,24.4,-,.,ID=434529;Target,totu_AC194464_4142_LTR,Copia
437625,chr10,RepeatMasker,dispersed_repeat,148972976,148973181,8.8,-,.,ID=434530;Target,cinful_zeon_AC211144_11003_LTR,Gypsy
437626,chr10,RepeatMasker,dispersed_repeat,148973182,148973299,29.9,-,.,ID=434531;Target,DTH_ZM00202_consensus_MITE,DTH
437627,chr10,RepeatMasker,dispersed_repeat,148973301,148973545,18.9,-,.,ID=434532;Target,totu_AC194464_4142_LTR,Copia
437628,chr10,RepeatMasker,dispersed_repeat,148973529,148973730,19.5,-,.,ID=434533;Target,totu_AC194464_4142_LTR,Copia
437629,chr10,RepeatMasker,dispersed_repeat,148973550,148973773,31.8,-,.,ID=434534;Target,ebel_AC213044_12072_LTR,Copia
437630,chr10,RepeatMasker,dispersed_repeat,148974546,148974780,5.1,-,.,ID=434535;Target,DTA_ZM00295_consensus_MITE,DTA
437631,chr10,RepeatMasker,dispersed_repeat,148974781,148979776,1.5,-,.,ID=434536;Target,hera_AC214536_12775_LTR,Copia
437632,chr10,RepeatMasker,dispersed_repeat,148979602,148979837,1.7,-,.,ID=434537;Target,hera_AC214536_12775_LTR,Copia
437633,chr10,RepeatMasker,dispersed_repeat,148979838,148980126,4.2,-,.,ID=434538;Target,DTA_ZM00295_consensus_MITE,DTA
437634,chr10,RepeatMasker,dispersed_repeat,148980214,148980431,27,-,.,ID=434539;Target,ebel_AC195143_4427_LTR,Copia
437635,chr10,RepeatMasker,dispersed_repeat,148980255,148980457,24.4,-,.,ID=434540;Target,totu_AC194464_4142_LTR,Copia
437636,chr10,RepeatMasker,dispersed_repeat,148980628,148980684,22.3,+,.,ID=434541;Target,(TTTA)n,Simple Repeat
437637,chr10,RepeatMasker,dispersed_repeat,148980841,148981715,35.6,+,.,ID=434542;Target,lusi_AC198175_5903_LTR,Copia
437638,chr10,RepeatMasker,dispersed_repeat,148981133,148981721,33.4,+,.,ID=434543;Target,hera_AC214536_12775_LTR,Copia
437639,chr10,RepeatMasker,dispersed_repeat,148982545,148982847,28.2,+,.,ID=434544;Target,homy_AC197914_5822_LTR,Copia
437640,chr10,RepeatMasker,dispersed_repeat,148982847,148983185,32.7,-,.,ID=434545;Target,RIL_loneok_AC193379_0_LINE,L1
437641,chr10,RepeatMasker,dispersed_repeat,148983006,148983208,27.9,-,.,ID=434546;Target,RIL_jikeuf_AC211152_0_LINE,L1
437642,chr10,RepeatMasker,dispersed_repeat,148983045,148983208,29.4,-,.,ID=434547;Target,RIX_ekeje_AC197537_0,LINE_unknown
437643,chr10,RepeatMasker,dispersed_repeat,148983208,148983304,32.6,+,.,ID=434548;Target,tufe_AC211502_11228_LTR,Copia
437644,chr10,RepeatMasker,dispersed_repeat,148983223,148984055,26.8,+,.,ID=434549;Target,lusi_AC198175_5903_LTR,Copia
437645,chr10,RepeatMasker,dispersed_repeat,148984055,148984269,32.3,+,.,ID=434550;Target,RIX_ekeje_AC197537_0,LINE_unknown
437646,chr10,RepeatMasker,dispersed_repeat,148984270,148993479,6.2,+,.,ID=434551;Target,huck_AC186603_1556_LTR,Gypsy
437647,chr10,RepeatMasker,dispersed_repeat,148993477,148996208,4.1,+,.,ID=434552;Target,huck_AC193313_3542_LTR,Gypsy
437648,chr10,RepeatMasker,dispersed_repeat,148996208,148996795,38.7,+,.,ID=434553;Target,RIL_pyelum_AC203928_0_LINE,L1
437649,chr10,RepeatMasker,dispersed_repeat,148996603,148996971,36.8,+,.,ID=434554;Target,RIL_loneok_AC193379_0_LINE,L1
437650,chr10,RepeatMasker,dispersed_repeat,148997145,148997256,24.3,+,.,ID=434555;Target,RIL_pyelum_AC203928_0_LINE,L1
437651,chr10,RepeatMasker,dispersed_repeat,148997253,148997795,28.1,+,.,ID=434556;Target,janoov_AC209690_10294_LTR,Copia
437652,chr10,RepeatMasker,dispersed_repeat,148997253,148997689,24.2,+,.,ID=434557;Target,lusi_AC198175_5903_LTR,Copia
437653,chr10,RepeatMasker,dispersed_repeat,148997975,148998037,28.3,+,.,ID=434558;Target,(TTTA)n,Simple Repeat
437654,chr10,RepeatMasker,dispersed_repeat,148998127,148999011,30.4,-,.,ID=434559;Target,RIX_leijoh_AC212369_0,LINE_unknown
437655,chr10,RepeatMasker,dispersed_repeat,148999024,148999127,22.1,+,.,ID=434560;Target,fehod_AC184774_851_LTR,Copia
437656,chr10,RepeatMasker,dispersed_repeat,148999162,149001431,5.3,-,.,ID=434561;Target,anar_AC206985_9422_LTR,Copia
437657,chr10,RepeatMasker,dispersed_repeat,148999432,149003326,10.4,-,.,ID=434562;Target,anar_AC206985_9422_LTR,Copia
437658,chr10,RepeatMasker,dispersed_repeat,149003329,149003516,12.2,+,.,ID=434563;Target,hiimam_AC207734_9687,LTR_unknown
437659,chr10,RepeatMasker,dispersed_repeat,149003528,149003611,9.5,+,.,ID=434564;Target,hiimam_AC207734_9687,LTR_unknown
437660,chr10,RepeatMasker,dispersed_repeat,149003614,149004055,32.7,+,.,ID=434565;Target,fehod_AC184774_851_LTR,Copia
437661,chr10,RepeatMasker,dispersed_repeat,149004056,149005072,31.1,+,.,ID=434566;Target,fehod_AC184774_851_LTR,Copia
437662,chr10,RepeatMasker,dispersed_repeat,149004981,149005113,30.5,+,.,ID=434567;Target,kuvi_AC207313_9512_LTR,Copia
437663,chr10,RepeatMasker,dispersed_repeat,149005132,149005736,34.1,+,.,ID=434568;Target,fehod_AC184774_851_LTR,Copia
437664,chr10,RepeatMasker,dispersed_repeat,149005580,149005767,32.8,+,.,ID=434569;Target,janoov_AC209690_10294_LTR,Copia
437665,chr10,RepeatMasker,dispersed_repeat,149005733,149005997,22.4,+,.,ID=434570;Target,RIL_nugimu_AC203843_0_LINE,L1
437666,chr10,RepeatMasker,dispersed_repeat,149005942,149006020,13.1,+,.,ID=434571;Target,hiimam_AC207734_9687,LTR_unknown
437667,chr10,RepeatMasker,dispersed_repeat,149006362,149006552,21.4,+,.,ID=434572;Target,fehod_AC184774_851_LTR,Copia
437668,chr10,RepeatMasker,dispersed_repeat,149006502,149006670,25.4,+,.,ID=434573;Target,kuvi_AC207807_9734_LTR,Copia
437669,chr10,RepeatMasker,dispersed_repeat,149006579,149006850,23.6,+,.,ID=434574;Target,fehod_AC184774_851_LTR,Copia
437670,chr10,RepeatMasker,dispersed_repeat,149006857,149006941,20.2,+,.,ID=434575;Target,RIL_pyelum_AC203928_0_LINE,L1
437671,chr10,RepeatMasker,dispersed_repeat,149006933,149007647,26.7,+,.,ID=434576;Target,fehod_AC184774_851_LTR,Copia
437672,chr10,RepeatMasker,dispersed_repeat,149007804,149007831,0,+,.,ID=434577;Target,(TGC)n,Simple Repeat
