seqnames,method,repeattype,start,end,something1,strand,dot,ID,Motif
K10L2,RepeatMasker,dispersed_repeat,16280549,16280592,6.8,+,.,ID=21133;Target,RIL_naefe_AC212820_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16282196,16282612,21.3,+,.,ID=21134;Target,egisu_AC206234_9137_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16282604,16282830,17,+,.,ID=21135;Target,egisu_AC206234_9137_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16283358,16283902,29.3,-,.,ID=21136;Target,ojam_AC198400_5989_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16283899,16283984,24.1,+,.,ID=21137;Target,hiimam_AC207734_9687_LTR_unknown
K10L2,RepeatMasker,dispersed_repeat,16284107,16284158,7.7,-,.,ID=21138;Target,sofi_AC215261_13035_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16284226,16284715,29.2,+,.,ID=21139;Target,RIX_leijoh_AC212369_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16284791,16285422,33.7,+,.,ID=21140;Target,RIX_ekeje_AC197537_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16285352,16285435,30.9,+,.,ID=21141;Target,RIL_koajav_AC205853_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16285582,16285598,0,+,.,ID=21142;Target,(TTG)n
K10L2,RepeatMasker,dispersed_repeat,16285623,16285724,26.5,+,.,ID=21143;Target,RIL_loneok_AC193379_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16285647,16285724,14.5,+,.,ID=21144;Target,RIL_ejoet_AC212216_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16285735,16286526,32,+,.,ID=21145;Target,RIL_nugimu_AC203843_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16286608,16287672,8.6,+,.,ID=21146;Target,anar_AC206985_9422_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16287673,16287790,0,+,.,ID=21147;Target,(TA)n
K10L2,RepeatMasker,dispersed_repeat,16287791,16287837,8.6,+,.,ID=21146;Target,anar_AC206985_9422_LTR_Copia
K10L2,RepeatMasker,dispersed_repeat,16287845,16288504,28.2,-,.,ID=21148;Target,ojam_AC198400_5989_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16288549,16288769,30.8,-,.,ID=21149;Target,olepo_AC212207_11645_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16288552,16288730,26.4,-,.,ID=21150;Target,ojam_AC198400_5989_LTR_Gypsy
K10L2,RepeatMasker,dispersed_repeat,16288818,16288931,19.4,-,.,ID=21151;Target,RIL_afeda_AC208414_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16288818,16288894,14.7,-,.,ID=21152;Target,RIL_nugimu_AC203843_0_LINE_L1
K10L2,RepeatMasker,dispersed_repeat,16289003,16289464,34.2,-,.,ID=21153;Target,RIX_edaej_AC215611_0_LINE_unknown
K10L2,RepeatMasker,dispersed_repeat,16289089,16290639,35.4,-,.,ID=21154;Target,RIX_ekeje_AC197537_0_LINE_unknown
